word,phonetic,translation,tag
abbreviation,ә.bri:vi'eiʃәn,"n. 缩写词, 缩写, 缩短, 节略",ielts
ability,ә'biliti,"n. 能力, 才干\n[经] 能力, 才能",ielts
abnormal,æb'nɒ:mәl,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",ielts
abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",ielts
aboriginal,.æbә'ridʒәnәl,"a. 原始的, 土著的\nn. 土著居民, 土生生物",ielts
abort,ә'bɒ:t,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",ielts
abortion,ә'bɒ:ʃәn,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",ielts
abound,ә'baund,"vi. 大量存在, 富于, 充满",ielts
abrasion,ә'breiʒәn,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗; 磨蚀",ielts
abridge,ә'bridʒ,"vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺; 节略",ielts
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",ielts
absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",ielts
abstract,'æbstrækt,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",ielts
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",ielts
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",ielts
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",ielts
academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",ielts
accelerate,әk'selәreit,"v. 加速, 促进",ielts
access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",ielts
accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",ielts
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",ielts
accidents,,n. 意外事故；事故（accident的复数）,ielts
acclaim,ә'kleim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",ielts
accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",ielts
accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",ielts
accommodations,,"n. 膳宿；住房, 住宿；居住设施（accommodation的复数）",ielts
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",ielts
accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美",ielts
accord,ә'kɒ:d,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",ielts
account,ә'kaunt,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",ielts
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,ielts
accountant,ә'kauntәnt,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",ielts
accountants,,会计人员,ielts
accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",ielts
accumulate,ә'kju:mjuleit,"v. 积聚, 堆积",ielts
accuracy,'ækjurәsi,"n. 精确, 正确\n[计] 准确度",ielts
accurate,'ækjurәt,"a. 正确的, 精确的\n[经] 准确的, 精确的",ielts
accuse,ә'kju:z,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",ielts
accuser,ә'kju:zә,"n. 控诉者, 指责者\n[法] 原告, 指控人, 控告者",ielts
achieve,ә'tʃi:v,"vt. 完成, 达到\nvi. 如愿以偿",ielts
achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业",ielts
acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",ielts
acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",ielts
acquaint,ә'kweint,"vt. 使认识, 介绍",ielts
acquire,ә'kwaiә,"vt. 获得, 学到\n[电] 目标锁定",ielts
acquisition,.ækwi'ziʃәn,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",ielts
action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",ielts
actions,,n. 动作；行动（action的复数）,ielts
activate,'æktiveit,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",ielts
activities,,n. （activity复数形式）活动；活动区；活动性,ielts
activity,æk'tiviti,"n. 活动, 行动, 活跃, 活力\n[计] 活动",ielts
actor,'æktә,"n. 男演员, 行动者\n[医] 作用物, 反应物",ielts
acute,ә'kju:t,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",ielts
adapt,ә'dæpt,"vt. 使适应, 改编\nvi. 适应",ielts
addict,ә'dikt,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",ielts
addition,ә'diʃәn,"n. 加法, 增加的人(或物)\n[计] 加法",ielts
additional,ә'diʃәnәl,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",ielts
address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",ielts
adept,ә'dept,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",ielts
adequate,'ædikwәt,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",ielts
adhere,әd'hiә,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",ielts
adjacent,ә'dʒeisәnt,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",ielts
adjoin,ә'dʒɒin,"v. 邻接, 毗连",ielts
adjust,ә'dʒʌst,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",ielts
administer,әd'ministә,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",ielts
administration,әd.mini'streiʃәn,"n. 行政, 管理, 政府机关\n[化] 给药",ielts
administrator,әd'ministreitә,"n. 管理人, 行政官\n[经] 遗产管理人员",ielts
admission,әd'miʃәn,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",ielts
adolescence,.ædәu'lesәns,"n. 青春期\n[医] 青年期, 青春期",ielts
adopt,ә'dɒpt,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",ielts
adore,ә'dɒ:,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",ielts
adult,'ædʌlt,"n. 成人, 成虫\na. 成年的, 成熟的",ielts
adults,,n. 成年人（adult的复数形式）,ielts
advanced,әd'vɑ:nst,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",ielts
advantages,,n. 优势；特点；有利；[经] 利益（advantage的复数）\nv. 促进（advantage的三单形式）；有利于,ielts
advent,'ædvәnt,"n. 来到, 来临",ielts
adverse,'ædvә:s,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",ielts
advertise,'ædvәtaiz,"vt. 做广告, 通知, 公布\nvi. 做广告",ielts
advertisement,.ædvә'taizmәnt,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",ielts
advertisements,,n. [经] 广告（advertisement的复数）；宣传,ielts
advertising,'ædvәtaiziŋ,"n. 广告业, 广告\na. 广告的\n[计] 发广告",ielts
advice,әd'vais,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",ielts
advocate,'ædvәkeit,"n. 提倡者, 拥护者\nvt. 主张, 提倡",ielts
aerial,'єәriәl,"a. 空中的, 航空的, 空气的, 空想的\nn. 天线",ielts
aesthetic,i:s'θetik,"a. 美学的, 审美的, 有美感的",ielts
affairs,,"n. 事务, 事宜；风流韵事",ielts
affect,ә'fekt,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",ielts
affection,ә'fekʃәn,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",ielts
affiliate,ә'filieit,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",ielts
affirm,ә'fә:m,"v. 断言, 确认",ielts
affix,ә'fiks,"vt. 使附于, 署名, 粘贴, 盖印于\nn. 附加物, 词缀",ielts
afflict,ә'flikt,"vt. 使苦恼, 折磨",ielts
afford,ә'fɒ:d,"vt. 买得起, 足以, 给予",ielts
Africa,'æfrikә,n. 非洲,ielts
African,'æfrikәn,"n. 非洲人\na. 非洲的, 非洲人的",ielts
age,eidʒ,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",ielts
agencies,,n. 代理；代理处（agency的复数）,ielts
agency,'eidʒәnsi,"n. 代理机构, 经销商, 中介\n[化] 办事处",ielts
agenda,ә'dʒendә,"pl. 议程, 日常工作事项\n[计] 待议事件",ielts
aggravate,'ægrәveit,"vt. 使恶化, 使更严重, 加重",ielts
aggregate,'ægrigәt,"n. 合计, 总计, 聚集体\na. 合计的, 聚集的\nv. 聚集, 集合, 合计达\n[计] 聚合体; 聚集",ielts
aggressive,ә'gresiv,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",ielts
agitation,.ædʒi'teiʃәn,"n. 激动, 焦虑, 煽动, 搅动, 摇动\n[化] 搅拌; 搅拌作用",ielts
agony,'ægәni,"n. 极大的痛苦, 挣扎\n[医] 濒死苦闷; 剧痛",ielts
agreeable,ә'griәbl,"a. 令人愉快的, 同意的\n[医] 佳适的",ielts
agreement,ә'gri:mәnt,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",ielts
agriculture,'ægrikʌltʃә,"n. 农业\n[机] 农业, 农学",ielts
AIDS,eidz,"n. 爱滋病(获得性免疫缺陷综合征)\n[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统\n美国决策学学会, 信息自动显示系统, 自动综合调试系统",ielts
aim,eim,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",ielts
air,єә,"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",ielts
airport,'єәpɒ:t,"n. 飞机场\n[机] 航空站, 机场",ielts
aisle,ail,"n. 走廊, 侧廊, 过道\n[机] 走道",ielts
alarm,ә'lɑ:m,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",ielts
Alaska,ә'læskә,n. 阿拉斯加州,ielts
album,'ælbәm,"n. 粘贴簿, 唱片套\n[医] 白色物",ielts
alien,'eiljәn,"n. 外国人, 外侨\na. 外国的, 相异的",ielts
alienate,'eiljәneit,"vt. 使疏远, 离间, 转让\n[法] 转让, 让与, 疏远",ielts
all,ɒ:l,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",ielts
allege,ә'ledʒ,"vt. 宣称, 主张, 提出, 断言\n[法] 断言, 指称, 指证",ielts
allegiance,ә'li:dʒәns,"n. 忠贞, 效忠",ielts
allergic,ә'lә:dʒik,"a. 对...过敏的, 极反感的\n[医] 变应性的",ielts
allergy,'ælәdʒi,"n. 变应性, 反感, 厌恶\n[化] 变态反应; 变应性",ielts
alleviate,ә'li:vieit,"vt. 减轻, 使缓和",ielts
alley,'æli,"n. 小路, 巷",ielts
alliance,ә'laiәns,"n. 联盟, 联合\n[法] 同盟, 联盟, 联姻",ielts
allocate,'ælәukeit,"vt. 分派, 分配\n[计] 分配",ielts
allot,ә'lɒt,"vt. 分配, 分摊指定\n[经] (按股或按规定)分配, 配(拨)给, 规(派)定",ielts
allowance,ә'lauәns,"n. 津贴, 零用钱, 限额, 折扣, 允许\nvt. 定量供应",ielts
alloy,'ælɒi. ә'lɒi,"n. 合金\nvt. 将...铸成合金, 减低成色\nvi. 合铸",ielts
ally,'ælai. ә'lai,"n. 同盟者, 同盟国, 助手\nvt. 使联盟, 使联合, 使有关系\nvi. 结盟",ielts
alone,ә'lәun,"a. 孤独的, 单独的, 独自的\nadv. 独自地",ielts
alongside,ә'lɒŋ'said,"adv. 在旁边, 靠拢着\nprep. 在...旁边, 与...在一起",ielts
alphabetical,.ælfә'betikәl,"a. 依字母顺序的, 字母的",ielts
alter,'ɒ:ltә,v. 改变,ielts
alternate,'ɒ:ltәnәt,"a. 交替的, 轮流的, 间隔的\nv. 轮流, (使)交替",ielts
alternative,ɒ:l'tә:nәtiv,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",ielts
altitude,'æltitju:d,"n. 高度, 海拔, 高处\n[电] 高度",ielts
