word,phonetic,translation,tag
高校,こうこう,高中,n5
〜か月,〜かげつ,……个月,n5
グラム,gram；(法) gramme,克,n5
〜さん,〜さん,（表达敬意或亲近感）……先生，……女士,n5
〜ちゃん,〜ちゃん,小……,n5
〜回,〜かい,……回，次,n5
〜階,〜かい,……层，……楼,n5
〜君,〜くん,（用于同辈或下级男性姓名后）小……,n5
〜個,〜こ,（用于数小而圆的物体）……个,n5
〜頃,〜ごろ,大概……，……左右；时期,n5
〜冊,〜さつ,（用来数笔记本，书本等）……册，……本,n5
時,じ,……点（钟）；……时候,n5
〜人,〜にん,（量词）……个人；（那个人所固有的性格、能力和经历）……人,n5
中,ちゅう,正在……；中间，中,n5
日,にち,……号；……天；日本；星期日,n5
〜番,〜ばん,（表达顺序或序号）……号,n5
〜匹,〜ひき,（猫、狗、鸟、鱼、虫等小动物）……只，……条,n5
分,ふん,……分钟,n5
〜本,〜ほん,（细长物的）……支，把，瓶,n5
〜枚,〜まい,（纸、板、货币、盘子等薄而扁平的东西）……张，……枚,n5
ああ,ああ,（悲伤、快乐或惊讶时）啊，哎呀；（答应时）啊,n5
あさって,あさって,后天,n5
あそこ,あそこ,（指代远处）那里；（指代自己和对方都知道的地方）那里,n5
あちら,あちら,（远处）那边；那个人，那位,n5
あっち,あっち,那边；那个人,n5
あなた,あなた,你,n5
あの,あの,（指代远处事物）那个；（指代自己和对方都知道的事物）那个,n5
あのう,あのう,（带着顾虑和犹豫的心情呼唤对方）不好意思，那个……,n5
アパート,apartment house,公寓,n5
あまり,あまり,（后接否定）不太，不很；（后接肯定）太，过分,n5
ある,ある,（无生命物体）存在；有；发生；处于某种状态,n5
あれ,あれ,（表示离双方都有距离的）那个；（指之前发生过的，你和对方都熟悉的事情）那时,n5
いい,いい,好的；可以；合适，足够,n5
いいえ,いいえ,（表示否定）不是，不对,n5
いくつ,いくつ,几个；几岁,n5
いくら,いくら,（数量或价钱）多少；即使……也……,n5
いつ,いつ,什么时候,n5
いっぱい,いっぱい,⓪（いっぱい）充满，很多；①一杯，一碗,n5
いつも,いつも,经常，总是；平时,n5
いる,いる,（有生命的物体的）存在，有,n5
いろいろ,いろいろ,各种各样，形形色色,n5
ううん,ううん,不，不是,n5
うるさい,うるさい,吵的，令人烦躁的；爱唠叨的,n5
うん,うん,是，是的,n5
エアコン,air conditioner,空调,n5
